compound_cid,name,smiles,canonical_smiles,inchikey,source
4239,"1,2,3-Oxadiazolium, 5-((ethoxycarbonyl)amino)-3-(4-morpholinyl)-",CCOC(=O)NC1=C[N+](=NO1)N2CCOCC2,CCOC(=O)Nc1c[n+](N2CCOCC2)no1,XLFWDASMENKTKL-UHFFFAOYSA-O,pubchem_processed
9064,Catechin,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,PFTAWBLQPZVEMU-DZGCQCFKSA-N,pubchem_processed
5702129,Triprolidine Hydrochloride Anhydrous,CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC=N3.Cl,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1.Cl,WYUYEJNGHIOFOC-NWBUNABESA-N,pubchem_processed
5702273,Clenbuterol Hydrochloride,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O.Cl,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1.Cl,OPXKTCUYRHXSBK-UHFFFAOYSA-N,pubchem_processed
5702285,Tulobuterol Hydrochloride,CC(C)(C)NCC(C1=CC=CC=C1Cl)O.Cl,CC(C)(C)NCC(O)c1ccccc1Cl.Cl,RSLNRVYIRDVHLY-UHFFFAOYSA-N,pubchem_processed
36708,Propafenone Hydrochloride,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O.Cl,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1.Cl,XWIHRGFIPXWGEF-UHFFFAOYSA-N,pubchem_processed
62969,Verapamil Hydrochloride,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC.Cl,DOQPXTMNIUCOSY-UHFFFAOYSA-N,pubchem_processed
41114,Nicardipine Hydrochloride,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC.Cl,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1.Cl,AIKVCUNQWYTVTO-UHFFFAOYSA-N,pubchem_processed
62882,Propranolol Hydrochloride,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O.Cl,CC(C)NCC(O)COc1cccc2ccccc12.Cl,ZMRUPTIKESYGQW-UHFFFAOYSA-N,pubchem_processed
64150,Amantadine Hydrochloride,C1C2CC3CC1CC(C2)(C3)N.Cl,Cl.NC12CC3CC(CC(C3)C1)C2,WOLHOYHSEKDWQH-UHFFFAOYSA-N,pubchem_processed
47812,Pergolide Mesylate,CCCN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CSC.CS(=O)(=O)O,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O,UWCVGPLTGZWHGS-ZORIOUSZSA-N,pubchem_processed
47499,Moxalactam,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C(C4=CC=C(C=C4)O)C(=O)O)OC)OC2)C(=O)O,CO[C@@]1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,JWCSIUVGFCSJCK-CAVRMKNVSA-N,pubchem_processed
51082,Mitoxantrone Hydrochloride,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO.Cl.Cl,Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,ZAHQPTJLOCWVPG-UHFFFAOYSA-N,pubchem_processed
68624,Lomefloxacin Hydrochloride,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O.Cl,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21.Cl,KXEBLAPZMOQCKO-UHFFFAOYSA-N,pubchem_processed
108013,"4-(((2-Amino-3,5-dibromophenyl)methyl)amino)cyclohexan-1-ol--hydrogen chloride (1/1)",C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O.Cl,Cl.Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,QNVKOSLOVOTXKF-UHFFFAOYSA-N,pubchem_processed
90010,Carbetapentane Citrate,CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,AKJDEXBCRLOVTH-UHFFFAOYSA-N,pubchem_processed
92163,Prilocaine Hydrochloride,CCCNC(C)C(=O)NC1=CC=CC=C1C.Cl,CCCNC(C)C(=O)Nc1ccccc1C.Cl,BJPJNTKRKALCPP-UHFFFAOYSA-N,pubchem_processed
237,(+-)-Quinacrine,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,GPKJTRJOBQGKQK-UHFFFAOYSA-N,pubchem_processed
305,Choline,C[N+](C)(C)CCO,C[N+](C)(C)CCO,OEYIOHPDSNJKLS-UHFFFAOYSA-N,pubchem_processed
1045,Putrescine,C(CCN)CN,NCCCCN,KIDHWZJUCRJVML-UHFFFAOYSA-N,pubchem_processed
1645,3-Aminobenzamide,C1=CC(=CC(=C1)N)C(=O)N,NC(=O)c1cccc(N)c1,GSCPDZHWVNUUFI-UHFFFAOYSA-N,pubchem_processed
1981,Acemetacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,FSQKKOOTNAMONP-UHFFFAOYSA-N,pubchem_processed
2353,Berberine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,YBHILYKTIRIUTE-UHFFFAOYSA-N,pubchem_processed
2749,Ciclopirox,CC1=CC(=O)N(C(=C1)C2CCCCC2)O,Cc1cc(C2CCCCC2)n(O)c(=O)c1,SCKYRAXSEDYPSA-UHFFFAOYSA-N,pubchem_processed
2993,Dequalinium,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,PCSWXVJAIHCTMO-UHFFFAOYSA-P,pubchem_processed
3229,Enoxacin,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,IDYZIJYBMGIQMJ-UHFFFAOYSA-N,pubchem_processed
4021,Mci-186,CC1=NN(C(=O)C1)C2=CC=CC=C2,CC1=NN(c2ccccc2)C(=O)C1,QELUYTUMUWHWMC-UHFFFAOYSA-N,pubchem_processed
4189,Miconazole,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,BYBLEWFAAKGYCD-UHFFFAOYSA-N,pubchem_processed
119,Gamma-Aminobutyric Acid,C(CC(=O)O)CN,NCCCC(=O)O,BTCSSZJGUNDROE-UHFFFAOYSA-N,pubchem_processed
2119,Alprenolol,CC(C)NCC(COC1=CC=CC=C1CC=C)O,C=CCc1ccccc1OCC(O)CNC(C)C,PAZJSJFMUHDSTF-UHFFFAOYSA-N,pubchem_processed
2247,Astemizole,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,GXDALQBWZGODGZ-UHFFFAOYSA-N,pubchem_processed
2327,Benserazide,C1=CC(=C(C(=C1CNNC(=O)C(CO)N)O)O)O,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,BNQDCRGUHNALGH-UHFFFAOYSA-N,pubchem_processed
2551,Carbamylcholine,C[N+](C)(C)CCOC(=O)N,C[N+](C)(C)CCOC(N)=O,VPJXQGSRWJZDOB-UHFFFAOYSA-O,pubchem_processed
3335,Fenbufen,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,ZPAKPRAICRBAOD-UHFFFAOYSA-N,pubchem_processed
3827,Ketotifen,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,ZCVMWBYGMWKGHF-UHFFFAOYSA-N,pubchem_processed
4039,Meclofenoxate,CN(C)CCOC(=O)COC1=CC=C(C=C1)Cl,CN(C)CCOC(=O)COc1ccc(Cl)cc1,XZTYGFHCIAKPGJ-UHFFFAOYSA-N,pubchem_processed
864,alpha Lipoic acid,C1CSSC1CCCCC(=O)O,O=C(O)CCCCC1CCSS1,AGBQKNBQESQNJD-UHFFFAOYSA-N,pubchem_processed
2132,Ambroxol,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,JBDGDEWWOUBZPM-UHFFFAOYSA-N,pubchem_processed
3276,Etanidazole,C1=CN(C(=N1)[N+](=O)[O-])CC(=O)NCCO,O=C(Cn1ccnc1[N+](=O)[O-])NCCO,WCDWBPCFGJXFJZ-UHFFFAOYSA-N,pubchem_processed
1066,Quinolinic Acid,C1=CC(=C(N=C1)C(=O)O)C(=O)O,O=C(O)c1cccnc1C(=O)O,GJAWHXHKYYXBSV-UHFFFAOYSA-N,pubchem_processed
1102,Spermidine,C(CCNCCCN)CN,NCCCCNCCCN,ATHGHQPFGPMSJY-UHFFFAOYSA-N,pubchem_processed
2562,Carbetapentane,CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,CFJMRBQWBDQYMK-UHFFFAOYSA-N,pubchem_processed
2910,Cyclothiazide,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,BOCUKUHCLICSIY-UHFFFAOYSA-N,pubchem_processed
3198,Econazole,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,LEZWWPYKPKIXLL-UHFFFAOYSA-N,pubchem_processed
3598,Hexachlorophene,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,ACGUYXCXAPNIKK-UHFFFAOYSA-N,pubchem_processed
3718,Indoprofen,CC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,RJMIEHBSYVWVIN-UHFFFAOYSA-N,pubchem_processed
3830,Kinetin,C1=COC(=C1)CNC2=NC=NC3=C2NC=N3,c1coc(CNc2ncnc3nc[nH]c23)c1,QANMHLXAZMSUEX-UHFFFAOYSA-N,pubchem_processed
3998,Mafenide,C1=CC(=CC=C1CN)S(=O)(=O)N,NCc1ccc(S(N)(=O)=O)cc1,TYMRLRRVMHJFTF-UHFFFAOYSA-N,pubchem_processed
4098,Methapyrilene,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2,CN(C)CCN(Cc1cccs1)c1ccccn1,HNJJXZKZRAWDPF-UHFFFAOYSA-N,pubchem_processed
4436,Naphazoline,C1CN=C(N1)CC2=CC=CC3=CC=CC=C32,c1ccc2c(CC3=NCCN3)cccc2c1,CNIIGCLFLJGOGP-UHFFFAOYSA-N,pubchem_processed
4488,Niflumic Acid,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,JZFPYUNJRRFVQU-UHFFFAOYSA-N,pubchem_processed
4628,Oxolinic Acid,CCN1C=C(C(=O)C2=CC3=C(C=C21)OCO3)C(=O)O,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,KYGZCKSPAKDVKC-UHFFFAOYSA-N,pubchem_processed
4636,Oxymetazoline,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,WYWIFABBXFUGLM-UHFFFAOYSA-N,pubchem_processed
4652,Fenclonine,C1=CC(=CC=C1CC(C(=O)O)N)Cl,NC(Cc1ccc(Cl)cc1)C(=O)O,NIGWMJHCCYYCSF-UHFFFAOYSA-N,pubchem_processed
4688,Pargyline,CN(CC#C)CC1=CC=CC=C1,C#CCN(C)Cc1ccccc1,DPWPWRLQFGFJFI-UHFFFAOYSA-N,pubchem_processed
4696,Patulin,C1C=C2C(=CC(=O)O2)C(O1)O,O=C1C=C2C(=CCOC2O)O1,ZRWPUFFVAOMMNM-UHFFFAOYSA-N,pubchem_processed
4912,Probucol,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)SC(C)(C)SC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,FYPMFJGVHOHGLL-UHFFFAOYSA-N,pubchem_processed
4992,Pyrilamine,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,YECBIJXISLIIDS-UHFFFAOYSA-N,pubchem_processed
5320,Sulfacetamide,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,CC(=O)NS(=O)(=O)c1ccc(N)cc1,SKIVFJLNDNKQPD-UHFFFAOYSA-N,pubchem_processed
5344,Sulfisoxazole,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,NHUHCSRWZMLRLA-UHFFFAOYSA-N,pubchem_processed
5504,Tolazoline,C1CN=C(N1)CC2=CC=CC=C2,c1ccc(CC2=NCCN2)cc1,JIVZKJJQOZQXQB-UHFFFAOYSA-N,pubchem_processed
6024,Cephalothin,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,XIURVHNZVLADCM-IUODEOHRSA-N,pubchem_processed
4622,Oxibendazole,CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,CCCOc1ccc2nc(NC(=O)OC)[nH]c2c1,RAOCRURYZCVHMG-UHFFFAOYSA-N,pubchem_processed
4906,Prilocaine,CCCNC(C)C(=O)NC1=CC=CC=C1C,CCCNC(C)C(=O)Nc1ccccc1C,MVFGUOIZUNYYSO-UHFFFAOYSA-N,pubchem_processed
4914,Procaine,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,CCN(CC)CCOC(=O)c1ccc(N)cc1,MFDFERRIHVXMIY-UHFFFAOYSA-N,pubchem_processed
5318,Sulconazole,C1=CC(=CC=C1CSC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,AFNXATANNDIXLG-UHFFFAOYSA-N,pubchem_processed
5342,Sulfinpyrazone,C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,MBGGBVCUIVRRBF-UHFFFAOYSA-N,pubchem_processed
5850,Pentolinium,C[N+]1(CCCC1)CCCCC[N+]2(CCCC2)C,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,XSBSKEQEUFOSDD-UHFFFAOYSA-N,pubchem_processed
6014,Promethazine Hydrochloride,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl,CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cl,XXPDBLUZJRXNNZ-UHFFFAOYSA-N,pubchem_processed
6758,Rotenone,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,JUVIOZPCNVVQFO-HBGVWJBISA-N,pubchem_processed
