Compound_CID,Name,SMILES,InChIKey
4919,Procyclidine,C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O,WYDUSKDSKCASEF-UHFFFAOYSA-N
4991,Pyridostigmine,C[N+]1=CC=CC(=C1)OC(=O)N(C)C,RVOLLAQWKVFTGE-UHFFFAOYSA-N
11333,Lactulose,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,JCQLYHFGKNRPGE-FCVZTGTOSA-N
667476,Dienestrol,C/C=C(/C(=C/C)/C1=CC=C(C=C1)O)\C2=CC=C(C=C2)O,NFDFQCUYFHCNBW-SCGPFSFSSA-N
3001055,Ranitidine,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C,VMXUWOKSQNHOCA-UKTHLTGXSA-N
5702214,Tiapride Hydrochloride,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC.Cl,OTFDPNXIVHBTKW-UHFFFAOYSA-N
71420,Loperamide Hydrochloride,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4.Cl,PGYPOBZJRVSMDS-UHFFFAOYSA-N
4649,4-Aminosalicylic Acid,C1=CC(=C(C=C1N)O)C(=O)O,WUBBRNOQWQTFEX-UHFFFAOYSA-N
71478,Maprotiline Hydrochloride,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24.Cl,NZDMFGKECODQRY-UHFFFAOYSA-N
71203,(-)-Eburnamonine,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=O)C2,WYJAPUKIYAZSEM-MOPGFXCFSA-N
5282318,Trimipramine Maleate,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C.C(=C\C(=O)O)\C(=O)O,YDGHCKHAXOUQOS-BTJKTKAUSA-N
4616,Oxazepam,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,ADIMAYPTOBDMTL-UHFFFAOYSA-N
4763,Phenobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,DDBREPKUVSBGFI-UHFFFAOYSA-N
5391,Temazepam,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,SEQDDYPDSLOBDC-UHFFFAOYSA-N
71424,Viloxazine Hydrochloride,CCOC1=CC=CC=C1OCC2CNCCO2.Cl,HJOCKFVCMLCPTP-UHFFFAOYSA-N
66259,Oxymetazoline Hydrochloride,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C.Cl,BEEDODBODQVSIM-UHFFFAOYSA-N
5074,Ritanserin,CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3,JUQLTPCYUFPYKE-UHFFFAOYSA-N
5606,Tulobuterol,CC(C)(C)NCC(C1=CC=CC=C1Cl)O,YREYLAVBNPACJM-UHFFFAOYSA-N
8980,Diphenhydramine Hydrochloride,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl,PCHPORCSPXIHLZ-UHFFFAOYSA-N
1935,Tacrine,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,YLJREFDVOIBQDA-UHFFFAOYSA-N
2783,Clenbuterol,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,STJMRWALKKWQGH-UHFFFAOYSA-N
3503,Gossypol,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O,QBKSWRVVCFFDOT-UHFFFAOYSA-N
2196,Aniracetam,COC1=CC=C(C=C1)C(=O)N2CCCC2=O,ZXNRTKGTQJPIJK-UHFFFAOYSA-N
2318,Benfluorex,CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C2=CC=CC=C2,CJAVTWRYCDNHSM-UHFFFAOYSA-N
4848,Pirenzepine,CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,RMHMFHUVIITRHF-UHFFFAOYSA-N
4922,Proglumide,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)C1=CC=CC=C1,DGMKFQYCZXERLX-UHFFFAOYSA-N
5429,Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,YAPQBXQYLJRXSA-UHFFFAOYSA-N
6305,L-Tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,QIVBCDIJIAJPQS-VIFPVBQESA-N
5355,Sulpiride,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,BGRJTUBHPOOWDU-UHFFFAOYSA-N
5467,Tiapride,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC,JTVPZMFULRWINT-UHFFFAOYSA-N
10648,Tetrahydrozoline Hydrochloride,C1CC(C2=CC=CC=C2C1)C3=NCCN3.Cl,BJORNXNYWNIWEY-UHFFFAOYSA-N
10607,Podophyllotoxin,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,YJGVMLPVUAXIQN-XVVDYKMHSA-N
36431,Buspirone Hydrochloride,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4.Cl,RICLFGYGYQXUFH-UHFFFAOYSA-N
62935,Trazodone Hydrochloride,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl.Cl,OHHDIOKRWWOXMT-UHFFFAOYSA-N
65327,Desipramine Hydrochloride,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,XAEWZDYWZHIUCT-UHFFFAOYSA-N
66062,Thioridazine Hydrochloride,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC.Cl,NZFNXWQNBYZDAQ-UHFFFAOYSA-N
68539,Clomipramine Hydrochloride,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl.Cl,WIMWMKZEIBHDTH-UHFFFAOYSA-N
66064,Trifluoperazine Hydrochloride,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl,BXDAOUXDMHXPDI-UHFFFAOYSA-N
